cb,canopy_cover,rank
BX08,0.39,1
QN08,0.32,2
QN11,0.32,2
MN12,0.32,2
SI02,0.31,5
SI01,0.28,6
QN06,0.26,7
MN09,0.26,7
MN07,0.25,9
BK14,0.24,10
BX12,0.24,10
BK03,0.22,12
MN03,0.22,12
MN10,0.21,14
BK02,0.21,14
BK08,0.21,14
QN13,0.21,14
BK10,0.21,14
QN07,0.20,19
BX09,0.20,19
BX03,0.20,19
QN09,0.19,22
MN08,0.19,22
QN12,0.19,22
QN05,0.19,22
BX11,0.19,22
BX07,0.19,22
MN11,0.19,22
BK18,0.19,22
MN06,0.18,30
BK12,0.18,30
QN03,0.18,30
SI03,0.18,30
BK07,0.17,34
BK04,0.17,34
BK09,0.17,34
BK06,0.17,34
BK15,0.17,34
BK16,0.17,34
BX10,0.17,34
BK05,0.17,34
BX04,0.17,34
BK17,0.16,43
BX05,0.16,43
QN10,0.15,45
BX06,0.15,45
MN02,0.14,47
QN04,0.14,47
MN01,0.14,47
QN01,0.14,47
BX01,0.14,47
BK11,0.12,52
BK13,0.12,52
BK01,0.11,54
QN02,0.10,55
MN04,0.10,55
QN14,0.10,55
BX02,0.08,58
MN05,0.04,59